Food Item,Data Source,Portion,Energy (kcal),Protein (g),Carbohydrate (g),Total Fat (g),Dietary Fibre (g),Sugars (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg)
"Rhubarb, frozen, cooked, with sugar",A,100g,116,0.39,31.2,0.05,2,28.7,0.014,,0,1
"Pie fillings, canned, cherry",A,100g,115,0.37,28,0.07,0.6,,0.018,,0,18
"Cranberry-orange relish, canned",A,100g,178,0.3,46.2,0.1,0,,0.012,,0,32
"Peaches, canned, heavy syrup pack, solids and liquids",A,100g,74,0.45,19.94,0.1,1.3,18.64,0.01,,0,6
"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, water pack, solids and liquids",A,100g,30,0.35,7.87,0.07,1,,0.009,,0,3
"Plantains, yellow, fried, Latino restaurant",A,100g,236,1.42,40.77,7.51,3.2,21.76,1.816,0.111,,6
"Pears, canned, water pack, solids and liquids",A,100g,29,0.19,7.81,0.03,1.6,6.1,0.002,,0,2
"Apricots, dried, sulfured, stewed, without added sugar",A,100g,85,1.2,22.15,0.18,2.6,19.57,0.006,,0,4
"Pummelo, raw",A,100g,38,0.76,9.62,0.04,1,,,,0,1
"Longans, raw",A,100g,60,1.31,15.14,0.1,1.1,,,,0,0
"Apples, frozen, unsweetened, heated",A,100g,47,0.29,12,0.33,1.9,,0.053,,0,3
"Cherries, sour, red, frozen, unsweetened",A,100g,46,0.92,11.02,0.44,1.6,9.02,0.1,,0,1
"Plums, canned, purple, light syrup pack, solids and liquids",A,100g,63,0.37,16.28,0.1,0.9,15.35,0.008,,0,20
"Oranges, raw, with peel",A,100g,63,1.3,15.5,0.3,4.5,,0.035,,0,2
"Elderberries, raw",A,100g,73,0.66,18.4,0.5,7,,0.023,,0,6
"Pears, canned, heavy syrup, drained",A,100g,74,0.24,19.08,0.18,2.7,16.42,0.01,,0,5
"Watermelon, raw",A,100g,30,0.61,7.55,0.15,0.4,6.2,0.016,,0,1
"Jujube, raw",A,100g,79,1.2,20.23,0.2,,,,,0,3
"Grapefruit, sections, canned, juice pack, solids and liquids",A,100g,37,0.7,9.21,0.09,0.4,8.8,0.012,,0,7
"Blueberries, wild, frozen",A,100g,51,0,13.85,0.16,4.4,,0.03,0,,3
"Pineapple, raw, all varieties",A,100g,50,0.54,13.12,0.12,1.4,9.85,0.009,,0,1
"Rhubarb, frozen, uncooked",A,100g,21,0.55,5.1,0.11,1.8,1.1,0.029,,0,2
"Pie fillings, apple, canned",A,100g,100,0.1,26.1,0.1,1,13.8,0,,0,47
"Peaches, canned, light syrup pack, solids and liquids",A,100g,54,0.45,14.55,0.03,1.3,13.25,0.003,,0,5
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, heavy syrup, solids and liquids",A,100g,73,0.39,18.91,0.07,1,17.91,0.01,,0,6
"Plantains, green, fried",A,100g,309,1.5,49.17,11.81,3.5,3.63,3.69,0.159,,2
"Pears, raw",A,100g,58,0.38,15.46,0.12,3.1,9.8,0.006,,0,1
"Apricots, dried, sulfured, uncooked",A,100g,241,3.39,62.64,0.51,7.3,53.44,0.017,,0,10
"Plums, dried (prunes), stewed, with added sugar",A,100g,124,1.09,32.88,0.22,3.8,,0.017,,0,2
"Cranberry sauce, canned, sweetened",A,100g,151,0.2,38.9,0.15,1,37.9,0.013,,0,29
"Loganberries, frozen",A,100g,55,1.52,13.02,0.31,5.3,7.7,0.011,,0,1
"Apples, frozen, unsweetened, unheated",A,100g,48,0.28,12.31,0.32,1.9,,0.053,,0,3
"Cherries, sour, red, canned, heavy syrup pack, solids and liquids",A,100g,91,0.73,23.27,0.1,1.1,22.17,0.021,,0,7
"Plums, canned, purple, juice pack, solids and liquids",A,100g,58,0.51,15.15,0.02,0.9,14.22,0.002,,0,1
"Oranges, raw, navels",A,100g,49,0.91,12.54,0.15,2.2,8.5,0.017,,0,1
"Strawberries, frozen, sweetened, whole",A,100g,78,0.52,21,0.14,1.9,18.61,0.007,,0,1
"Dates, deglet noor",A,100g,282,2.45,75.03,0.39,8,63.35,0.032,,0,2
"Peaches, canned, heavy syrup, drained",A,100g,77,0.54,19.79,0.14,2.2,17.63,0.004,,0,6
"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",A,100g,86,0.41,22.36,0.1,1.3,,0.019,,0,2
"Jackfruit, raw",A,100g,94,1.47,24.01,0.3,1.6,,0.063,,0,3
"Grapefruit, sections, canned, water pack, solids and liquids",A,100g,36,0.58,9.15,0.1,0.4,8.75,0.014,,0,2
"Blueberries, canned, heavy syrup, solids and liquids",A,100g,88,0.65,22.06,0.33,1.6,20.46,0.027,,0,3
"Persimmons, native, raw",A,100g,127,0.8,33.5,0.4,,,,,0,1
"Rhubarb, raw",A,100g,21,0.9,4.54,0.2,1.8,1.1,0.053,,0,4
"Peaches, canned, juice pack, solids and liquids",A,100g,44,0.63,11.57,0.03,1.3,10.27,0.004,,0,4
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, light syrup, solids and liquids",A,100g,57,0.4,14.93,0.07,1,13.93,0.01,,0,6
"Kiwifruit, gold, raw",A,100g,60,1.23,14.23,0.56,2,10.98,0.149,,,3
"Melon balls, frozen",A,100g,33,0.84,7.94,0.25,0.7,,0.064,,0,31
"Peaches, frozen, sliced, sweetened",A,100g,94,0.63,23.98,0.13,1.8,22.18,0.014,,0,6
"Apricots, dehydrated (low-moisture), sulfured, stewed",A,100g,126,1.93,32.62,0.24,,,0.017,,0,5
"Plums, dried (prunes), stewed, without added sugar",A,100g,107,0.96,28.08,0.16,3.1,24.98,0.01,,0,1
"Cranberries, dried, sweetened",A,100g,308,0.07,82.36,1.37,5.7,65,0.103,,0,3
"Cherries, sour, red, canned, light syrup pack, solids and liquids",A,100g,75,0.74,19.3,0.1,0.8,,0.022,,0,7
"Plums, canned, purple, water pack, solids and liquids",A,100g,41,0.39,11.03,0.01,0.9,10.1,0.001,,0,1
"Oranges, raw, all commercial varieties",A,100g,47,0.94,11.75,0.12,2.4,9.35,0.015,,0,0
"Strawberries, frozen, unsweetened",A,100g,35,0.43,9.13,0.11,2.1,4.56,0.006,,0,2
"Custard-apple, (bullock's-heart), raw",A,100g,101,1.7,25.2,0.6,2.4,,0.231,,0,4
"Cherries, sweet, canned, pitted, heavy syrup, drained",A,100g,83,0.73,21.07,0.21,2.3,16.18,0.041,,0,3
"Litchis, dried",A,100g,277,3.8,70.7,1.2,4.6,66.1,0.27,,0,3
"Apples, dried, sulfured, stewed, with added sugar",A,100g,83,0.2,20.73,0.07,1.9,,0.011,,0,19
"Guavas, strawberry, raw",A,100g,69,0.58,17.36,0.6,5.4,,0.172,,0,37
"Grapefruit, raw, white, all areas",A,100g,33,0.69,8.41,0.1,1.1,7.31,0.014,,0,0
"Blueberries, raw",A,100g,57,0.74,14.49,0.33,2.4,9.96,0.028,,0,1
"Persimmons, japanese, dried",A,100g,274,1.38,73.43,0.59,14.5,,,,0,2
"Blackberries, frozen, unsweetened",A,100g,64,1.18,15.67,0.43,5,10.67,0.015,,0,1
"Raspberries, frozen, red, sweetened",A,100g,103,0.7,26.16,0.16,4.4,21.76,0.005,,0,1
"Apples, canned, sweetened, sliced, drained, unheated",A,100g,67,0.18,16.7,0.49,1.7,15,0.08,,0,3
"Tamarinds, raw",A,100g,239,2.8,62.5,0.6,5.1,57.4,0.272,,0,28
"Peaches, canned, water pack, solids and liquids",A,100g,24,0.44,6.11,0.06,1.3,4.81,0.006,,0,3
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, juice pack, solids and liquids",A,100g,46,0.46,11.86,0.01,1,10.86,0.001,,0,4
"Clementines, raw",A,100g,47,0.85,12.02,0.15,1.7,9.18,,,,1
"Melons, honeydew, raw",A,100g,36,0.54,9.09,0.14,0.8,8.12,0.038,,0,18
"Apricots, dehydrated (low-moisture), sulfured, uncooked",A,100g,320,4.9,82.89,0.62,,,0.043,,0,13
"Plums, dried (prunes), uncooked",A,100g,240,2.18,63.88,0.38,7.1,38.13,0.088,,0,2
"Cranberries, raw",A,100g,46,0.39,12.2,0.13,4.6,4.04,0.011,,0,2
"Cherries, sour, red, raw",A,100g,50,1,12.18,0.3,1.6,8.49,0.068,,0,3
"Plums, raw",A,100g,46,0.7,11.42,0.28,1.4,9.92,0.017,,0,0
"Olives, pickled, canned or bottled, green",A,100g,145,1.03,3.84,15.32,3.3,0.54,2.029,,0,1556
"Strawberries, canned, heavy syrup pack, solids and liquids",A,100g,92,0.56,23.53,0.26,1.7,21.83,0.014,,0,4
"Currants, zante, dried",A,100g,283,4.08,74.08,0.27,6.8,67.28,0.028,,0,8
"Apricots, canned, heavy syrup, drained",A,100g,83,0.64,21.31,0.11,2.7,18.65,0.007,,0,4
"Litchis, raw",A,100g,66,0.83,16.53,0.44,1.3,15.23,0.099,,0,1
"Apples, dried, sulfured, stewed, without added sugar",A,100g,57,0.22,15.32,0.07,2,13.32,0.012,,0,20
"Guavas, common, raw",A,100g,68,2.55,14.32,0.95,5.4,8.92,0.272,,0,2
"Grapefruit, raw, pink and red, all areas",A,100g,42,0.77,10.66,0.14,1.6,6.89,0.021,,0,0
"Persimmons, japanese, raw",A,100g,70,0.58,18.59,0.19,3.6,12.53,0.02,,0,1
"Blackberries, canned, heavy syrup, solids and liquids",A,100g,92,1.31,23.1,0.14,3.4,19.7,0.005,,0,3
"Raspberries, canned, red, heavy syrup pack, solids and liquids",A,100g,91,0.83,23.36,0.12,3.3,20.06,0.005,,0,3
"Apples, raw, without skin, cooked, microwave",A,100g,56,0.28,14.41,0.42,2.8,11.61,0.068,,0,1
"Sugar-apples, (sweetsop), raw",A,100g,94,2.06,23.64,0.29,4.4,,0.048,,0,9
"Peaches, raw",A,100g,39,0.91,9.54,0.25,1.5,8.39,0.019,,0,0
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",A,100g,32,0.42,8.51,0.05,1,7.51,0.006,,0,4
Prune puree,A,100g,257,2.1,65.1,0.2,3.3,39,0.016,,0,23
"Melons, casaba, raw",A,100g,28,1.11,6.58,0.1,0.9,5.69,0.025,,0,9
"Apricots, canned, heavy syrup pack, without skin, solids and liquids",A,100g,83,0.51,21.45,0.09,1.6,,0.006,,0,11
"Prunes, dehydrated (low-moisture), stewed",A,100g,113,1.23,29.7,0.24,,,0.02,,0,2
"Crabapples, raw",A,100g,76,0.4,19.95,0.3,,,0.048,,0,1
"Plantains, cooked",A,100g,116,0.79,31.15,0.18,2.3,14,0.069,,0,5
"Olives, ripe, canned (small-extra large)",A,100g,115,0.84,6.26,10.68,3.2,0,1.415,,0,872
"Strawberries, raw",A,100g,32,0.67,7.68,0.3,2,4.89,0.015,,0,1
"Pineapple, canned, juice pack, drained",A,100g,60,0.51,15.56,0.11,1.3,14.26,0.008,,0,1
"Limes, raw",A,100g,30,0.7,10.54,0.2,2.8,1.69,0.022,,0,2
"Apples, dried, sulfured, uncooked",A,100g,243,0.93,65.89,0.32,8.7,57.19,0.052,,0,87
"Cherimoya, raw",A,100g,75,1.57,17.71,0.68,3,12.87,0.233,0,0,7
"Grapefruit, raw, pink and red and white, all areas",A,100g,32,0.63,8.08,0.1,1.1,6.98,0.014,,0,0
"Pears, dried, sulfured, stewed, with added sugar",A,100g,140,0.86,37.14,0.29,5.8,,0.016,,0,3
"Blackberries, raw",A,100g,43,1.39,9.61,0.49,5.3,4.88,0.014,,0,1
"Raspberries, raw",A,100g,52,1.2,11.94,0.65,6.5,4.42,0.019,,0,1
"Apples, raw, without skin, cooked, boiled",A,100g,53,0.26,13.64,0.36,2.4,11.01,0.058,,0,1
"Peaches, dried, sulfured, stewed, with added sugar",A,100g,103,1.06,26.6,0.22,2.4,,0.024,,0,2
"Strawberries, frozen, sweetened, sliced",A,100g,96,0.53,25.92,0.13,1.9,24.01,0.007,,0,3
"Groundcherries, (cape-gooseberries or poha), raw",A,100g,53,1.9,11.2,0.7,,,,,0,
"Figs, dried, stewed",A,100g,107,1.42,27.57,0.4,4.2,23.35,0.062,,0,4
"Durian, raw or frozen",A,100g,147,1.47,27.09,5.33,3.8,,,,0,2
"Melons, cantaloupe, raw",A,100g,34,0.84,8.16,0.19,0.9,7.86,0.051,,0,16
"Apricots, canned, heavy syrup pack, with skin, solids and liquids",A,100g,83,0.53,21.47,0.08,1.6,19.87,0.005,,0,4
"Prunes, dehydrated (low-moisture), uncooked",A,100g,339,3.7,89.07,0.73,,,0.059,,0,5
"Cherries, sweet, frozen, sweetened",A,100g,89,1.15,22.36,0.13,2.1,20.26,0.03,,0,1
"Passion-fruit, (granadilla), purple, raw",A,100g,97,2.2,23.38,0.7,10.4,11.2,0.059,,0,28
"Plantains, raw",A,100g,122,1.3,31.89,0.37,2.3,15,0.143,,0,4
"Nectarines, raw",A,100g,44,1.06,10.55,0.32,1.7,7.89,0.025,,0,0
"Soursop, raw",A,100g,66,1,16.84,0.3,3.3,13.54,0.051,,0,14
"Blueberries, wild, canned, heavy syrup, drained",A,100g,107,0.56,28.32,0.34,4.9,19.28,,,,1
"Lemon peel, raw",A,100g,47,1.5,16,0.3,10.6,4.17,0.039,,0,6
"Apples, dehydrated (low moisture), sulfured, stewed",A,100g,74,0.28,19.91,0.12,2.6,,0.02,,0,26
"Carambola, (starfruit), raw",A,100g,31,1.04,6.73,0.33,2.8,3.98,0.019,,0,2
"Pears, dried, sulfured, stewed, without added sugar",A,100g,127,0.91,33.81,0.31,6.4,27.41,0.017,,0,3
"Bananas, dehydrated, or banana powder",A,100g,346,3.89,88.28,1.81,9.9,47.3,0.698,,0,3
"Rambutan, canned, syrup pack",A,100g,82,0.65,20.87,0.21,0.9,,,,0,11
"Apples, raw, without skin",A,100g,48,0.27,12.76,0.13,1.3,10.1,0.021,,0,0
"Peaches, dried, sulfured, stewed, without added sugar",A,100g,77,1.16,19.69,0.25,2.7,16.99,0.026,,0,2
"Grapes, canned, thompson seedless, heavy syrup pack, solids and liquids",A,100g,76,0.48,19.65,0.1,0.6,19.05,0.033,,0,5
"Gooseberries, canned, light syrup pack, solids and liquids",A,100g,73,0.65,18.75,0.2,2.4,,0.013,,0,2
"Figs, dried, uncooked",A,100g,249,3.3,63.87,0.93,9.8,47.92,0.144,,0,10
"Dates, medjool",A,100g,277,1.81,74.97,0.15,6.7,66.47,,,,1
"Mangosteen, canned, syrup pack",A,100g,73,0.41,17.91,0.58,1.8,,,,0,7
"Apricots, canned, light syrup pack, with skin, solids and liquids",A,100g,63,0.53,16.49,0.05,1.6,14.89,0.003,,0,4
"Prunes, canned, heavy syrup pack, solids and liquids",A,100g,105,0.87,27.8,0.2,3.8,,0.016,,0,3
"Cherries, sweet, canned, pitted, heavy syrup pack, solids and liquids",A,100g,83,0.6,21.27,0.15,1.4,16.18,0.034,,0,3
"Papayas, raw",A,100g,39,0.61,9.81,0.14,1.8,5.9,0.043,,0,3
"Pineapple, frozen, chunks, sweetened",A,100g,86,0.4,22.2,0.1,1.1,21.1,0.007,,0,2
"Mulberries, raw",A,100g,43,1.44,9.8,0.39,1.7,8.1,0.027,,0,10
"Sapote, mamey, raw",A,100g,134,2.12,33.76,0.6,2.6,,,,0,10
"Blueberries, canned, light syrup, drained",A,100g,88,1.04,22.66,0.4,2.6,17.45,0.028,,0,3
"Lemons, raw, with peel",A,100g,20,1.2,10.7,0.3,4.7,,0.039,,0,3
"Apples, dehydrated (low moisture), sulfured, uncooked",A,100g,346,1.32,93.53,0.58,12.4,81.13,0.095,,0,124
"Breadfruit, raw",A,100g,103,1.07,27.12,0.23,4.9,11,0.048,,0,2
"Pears, dried, sulfured, uncooked",A,100g,262,1.87,69.7,0.63,7.5,62.2,0.035,,0,6
"Bananas, raw",A,100g,89,1.09,22.84,0.33,2.6,12.23,0.112,,0,1
"Raisins, seeded",A,100g,296,2.52,78.47,0.54,6.8,,0.178,,0,28
"Apples, raw, with skin",A,100g,52,0.26,13.81,0.17,2.4,10.39,0.028,,0,1
"Peaches, dried, sulfured, uncooked",A,100g,239,3.61,61.33,0.76,8.2,41.74,0.082,,0,7
"Grapes, canned, thompson seedless, water pack, solids and liquids",A,100g,40,0.5,10.3,0.11,0.6,9.7,0.035,,0,6
"Gooseberries, raw",A,100g,44,0.88,10.18,0.58,4.3,,0.038,,0,1
"Figs, canned, heavy syrup pack, solids and liquids",A,100g,88,0.38,22.9,0.1,2.2,20.7,0.02,,0,1
"Jackfruit, canned, syrup pack",A,100g,92,0.36,23.94,0.14,0.9,,,,0,11
"Mangos, raw",A,100g,65,0.51,17,0.27,1.8,14.8,0.066,,0,2
"Apricots, canned, juice pack, with skin, solids and liquids",A,100g,48,0.63,12.34,0.04,1.6,10.74,0.003,,0,4
"Cherries, sweet, canned, light syrup pack, solids and liquids",A,100g,67,0.61,17.29,0.15,1.5,15.79,0.034,,0,3
"Tangerines, (mandarin oranges), canned, light syrup pack",A,100g,61,0.45,16.19,0.1,0.7,15.49,0.012,,0,6
"Fruit cocktail, canned, heavy syrup, drained",A,100g,70,0.47,18.8,0.1,1.7,17.14,0.014,,0,6
"Lemons, raw, without peel",A,100g,29,1.1,9.32,0.3,2.8,2.5,0.039,,0,2
"Apples, canned, sweetened, sliced, drained, heated",A,100g,67,0.18,16.84,0.43,2,14.84,0.07,,0,3
"Boysenberries, frozen, unsweetened",A,100g,50,1.1,12.19,0.26,5.3,6.89,0.009,,0,1
"Pineapple, canned, heavy syrup pack, solids and liquids",A,100g,78,0.35,20.2,0.11,0.8,16.9,0.009,,0,1
"Fruit, mixed, (peach and cherry-sweet and -sour and raspberry and grape and boysenberry), frozen, sweetened",A,100g,98,1.42,24.23,0.18,1.9,,0.025,,0,3
"Sapodilla, raw",A,100g,83,0.44,19.96,1.1,5.3,,0.194,,0,12
"Pears, canned, heavy syrup pack, solids and liquids",A,100g,74,0.2,19.17,0.13,1.6,15.2,0.007,,0,5
"Avocados, raw, all commercial varieties",A,100g,160,2,8.53,14.66,6.7,0.66,2.126,,0,7
"Raisins, seedless",A,100g,299,3.07,79.18,0.46,3.7,59.19,0.058,,0,11
"Acerola, (west indian cherry), raw",A,100g,32,0.4,7.69,0.3,1.1,,0.068,,0,7
"Peaches, dehydrated (low-moisture), sulfured, stewed",A,100g,133,2.01,34.14,0.42,,,0.045,,0,4
"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, heavy syrup, solids and liquids",A,100g,73,0.34,19.11,0.07,1,18.11,0.01,,0,6
"Figs, canned, light syrup pack, solids and liquids",A,100g,69,0.39,17.95,0.1,1.8,16.15,0.02,,0,1
"Applesauce, canned, sweetened, with salt",A,100g,76,0.18,19.91,0.18,1.2,,0.03,,0,28
"Mammy-apple, (mamey), raw",A,100g,51,0.5,12.5,0.5,3,,0.136,,0,15
"Apricots, canned, water pack, without skin, solids and liquids",A,100g,22,0.69,5.48,0.03,1.1,,0.002,,0,11
"Cherries, sweet, canned, juice pack, solids and liquids",A,100g,54,0.91,13.81,0.02,1.5,12.31,0.004,,0,3
"Prickly pears, raw",A,100g,41,0.73,9.57,0.51,3.6,,0.067,,0,5
"Tangerines, (mandarin oranges), canned, juice pack",A,100g,37,0.62,9.57,0.03,0.7,8.87,0.003,,0,5
"Pears, asian, raw",A,100g,42,0.5,10.65,0.23,3.6,7.05,0.012,,0,0
"Kumquats, raw",A,100g,71,1.88,15.9,0.86,6.5,9.36,0.103,,0,10
"Boysenberries, canned, heavy syrup",A,100g,88,0.99,22.31,0.12,2.6,,0.004,,0,3
"Pineapple, canned, light syrup pack, solids and liquids",A,100g,52,0.36,13.45,0.12,0.8,12.65,0.009,,0,1
"Fruit, mixed, (prune and apricot and pear), dried",A,100g,243,2.46,64.06,0.49,7.8,,0.04,,0,18
"Rose-apples, raw",A,100g,25,0.6,5.7,0.3,,,,,0,0
"Pie fillings, blueberry, canned",A,100g,181,0.41,44.38,0.2,2.6,37.75,0,,0,12
"Pears, canned, light syrup pack, solids and liquids",A,100g,57,0.19,15.17,0.03,1.6,12.1,0.002,,0,5
"Apricots, frozen, sweetened",A,100g,98,0.7,25.1,0.1,2.2,,0.007,,0,4
"Raisins, golden seedless",A,100g,302,3.39,79.52,0.46,4,59.19,0.151,,0,12
"Currants, red and white, raw",A,100g,56,1.4,13.8,0.2,4.3,7.37,0.017,,0,1
"Peaches, dehydrated (low-moisture), sulfured, uncooked",A,100g,325,4.89,83.18,1.03,,,0.111,,0,10
"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, light syrup, solids and liquids",A,100g,58,0.34,15.14,0.07,1,,0.009,,0,6
False sour cherry,B,100g,46,1.1,10.2,0.2,0.3,,,,,8
Lychee,B,100g,71,0.9,16.6,0.2,0.5,,,,,1.7
“Yellow River” honey melon,B,100g,11,0.4,4,ND,3.2,,,,,
“Wood” pear,B,100g,32,0.4,8.2,0.1,1.9,,,,,3
"Date, “Jinsi”, small",B,100g,308,1.2,76.7,1.1,7,,,,,7.4
Pear (Mean),B,100g,50,0.4,13.3,0.2,3.1,,,,,2.1
"Spinyleaf crazyweed, spine, a kind of wild fruit",B,100g,112,2.8,25.5,0.3,2.2,,,,,8.3
Pomelo,B,100g,42,0.8,9.5,0.2,0.4,,,,,3
Fig,B,100g,65,1.5,16,0.1,3,,,,,5.5
"Peach, yellow, early maturing",B,100g,41,0.4,10.1,0.1,1.1,,,,,1.3
“Red Jade” apple,B,100g,52,0.2,14.7,0.2,4.7,,,,,
"Watermelon inner skin, preserved with sugar",B,100g,311,0.7,77.5,0.2,2,,,,,529.3
“Yaguang” pear,B,100g,60,0.6,16.5,0.2,5.1,,,,,1
Orange (Mean),B,100g,51,0.7,11.9,0.2,0.4,,,,,1.4
Persimmon,B,100g,74,0.4,18.5,0.1,1.4,,,,,0.8
Spine date,B,100g,300,3.5,73.3,1.5,10.6,,,,,3.8
Wampee,B,100g,39,1.6,9.9,0.2,4.3,,,,,6.5
“Hami” cantaloupe,B,100g,34,0.5,7.9,0.1,0.2,,,,,26.7
“Moon” pear,B,100g,54,0.3,13.3,0.2,0.9,,,,,1.4
"Date, large, dried",B,100g,317,2.1,81.1,0.4,9.5,,,,,8.3
"Crabapple, canned",B,100g,56,0.5,13.6,0.2,1.3,,,,,8.8
"Tangerine, preserved in sugar",B,100g,371,0.6,92.9,0.4,3.5,,,,,485.9
Sea buckthorn,B,100g,120,0.9,25.5,1.8,0.8,,,,,28
“May fresh” peach,B,100g,41,0.4,10,0.1,0.9,,,,,
"Apple, canned",B,100g,41,0.2,10.3,0.2,1.3,,,,,6.2
“Red star” apple,B,100g,58,0.4,14.3,0.1,0.8,,,,,2.3
"Peach, preserved with sugar, dried",B,100g,315,1.4,77.6,0.4,2.4,,,,,243
“Snow” pear,B,100g,79,0.9,20.2,0.1,3,,,,,1.4
Orange,B,100g,48,0.8,11.1,0.2,0.6,,,,,1.2
"Pomegranate, pale green-skinned",B,100g,71,1.2,18.5,0.2,4.9,,,,,1.3
Longan flesh,B,100g,317,4.6,73.5,1,2,,,,,7.3
"Honeydew, white-skinned, light green pulp",B,100g,23,0.6,5.3,0.1,0.8,,,,,
"“Horse's hoof” pear, yellow",B,100g,50,0.3,12.5,0.1,1.3,,,,,3.3
"Date, dried",B,100g,276,3.2,67.8,0.5,6.2,,,,,6.2
"“Honey”, date, preserved with sugar, seeds removed",B,100g,327,1,81.9,0.1,3,,,,,15.8
"“Early” tangerine, early maturing",B,100g,57,1.2,12.6,0.2,0.1,,,,,0.9
Currant,B,100g,66,1.4,15.4,0.4,2.4,,,,,2
"Peach, yellow, late maturing",B,100g,41,0.7,9.6,0.2,1,,,,,0.5
"“Wojin”, apple",B,100g,54,0.2,13.6,0.2,1.7,,,,,0.6
Crabapple,B,100g,76,0.3,19.2,0.2,1.8,,,,,0.6
"“Banana” apple, banana flavored, red",B,100g,51,0.4,12.3,0.2,0.9,,,,,2
"Plum, preserved with sugar, green",B,100g,314,1.2,77.4,0.6,2.9,,,,,222.8
“Snowflower” pear,B,100g,43,0.2,10.6,0.1,0.8,,,,,0.6
“Agate”pomegranate,B,100g,72,1.6,18.4,0.2,4.7,,,,,0.7
"Conomon, white-skinned",B,100g,25,0.4,6.2,ND,0.5,,,,,1.6
“Laiyang” pear,B,100g,54,0.3,14.1,0.2,2.6,,,,,1.8
Date,B,100g,125,1.1,30.5,0.3,1.9,,,,,1.2
“Kuerle” pear,B,100g,42,0.1,13.4,0.1,6.7,,,,,3.7
"“Honey”, date, preserved with sugar",B,100g,333,1.3,84.4,0.2,5.8,,,,,25.1
"Longan, dried",B,100g,277,5,64.8,0.2,2,,,,,3.3
“Small leaf” tangerine,B,100g,40,1.1,8.8,0.2,0.9,,,,,2.1
Gooseberry,B,100g,46,0.9,10.2,0.6,1.9,,,,,1
“Celebrate Harvest” peach,B,100g,42,0.6,10.1,0.1,0.9,,,,,2.1
“Blessing” apple,B,100g,50,0.4,12.5,0.1,1.5,,,,,1.7
"Hawthorn, large, dried",B,100g,251,4.3,78.4,2.2,49.7,,,,,9.9
"Apple, preserved in sugar",B,100g,340,0.6,84.9,0.1,1.6,,,,,12.8
“Fragrant” pear,B,100g,51,0.3,13.6,0.1,2.7,,,,,0.8
"Pomegranate, pink-skinned",B,100g,74,1.3,19.4,0.1,4.9,,,,,0.8
“Red Fuji” apple,B,100g,49,0.7,11.7,0.4,2.1,,,,,0.7
Emblic leaf flower,B,100g,45,0.3,12.4,0.1,3.4,,,,,ND
"Apricot, dried",B,100g,338,2.7,83.2,0.4,4.4,,,,,40.4
Bretschneider pear,B,100g,57,0.2,13.7,0.5,1.4,,,,,0.7
Longan,B,100g,71,1.2,16.6,0.1,0.4,,,,,3.9
"“Sichuan” tangerine, red-skinned",B,100g,42,0.7,9.8,0.1,0.7,,,,,1.7
"Mulberry, dried",B,100g,298,21.1,54.2,6.1,29.3,,,,,28.1
“Pu” peach,B,100g,39,0.5,10.2,0.2,2.8,,,,,1
Indian apple,B,100g,54,0.6,14.8,0.2,4.9,,,,,
"Hawthorn, large",B,100g,102,0.5,25.1,0.6,3.1,,,,,5.4
"Pomegranate, pale green-skinned (Mean)",B,100g,73,1.4,18.7,0.2,4.8,,,,,0.9
“Drought” apple,B,100g,34,0.4,8.4,0.2,1.7,,,,,
"Crabapple, preserved with sugar",B,100g,290,0.6,72.6,0.2,2.2,,,,,200.5
Sour pear,B,100g,33,0.1,9.8,0.1,3.7,,,,,8.5
"Chinese olive, white",B,100g,57,0.8,15.1,0.2,4,,,,,ND
"Apricot, canned",B,100g,40,0.6,9.7,0.2,1.4,,,,,22.3
“Jinfeng” pear,B,100g,51,0.2,13.9,0.1,3.2,,,,,
Guava,B,100g,53,1.1,14.2,0.4,5.9,,,,,3.3
"Mulberry, purple",B,100g,55,1.6,12.9,0.4,3.3,,,,,1.9
“Honey” peach,B,100g,43,0.9,9.8,0.2,0.8,,,,,2.9
"“Fragrant Jade” apple, red",B,100g,62,0.5,15.7,0.1,1.7,,,,,2.6
"Pear, canned in sugar",B,100g,36,0.5,8.8,0.2,1.4,,,,,2.1
"“Three lakes” tangerine, red-skinned",B,100g,43,0.8,10,0.3,1.3,,,,,1.4
"Date, preserved in liquor",B,100g,148,1.6,35.7,0.2,1.4,,,,,0.8
Raisin,B,100g,344,2.5,83.4,0.4,1.6,,,,,19.1
“Bright China” apple,B,100g,56,0.3,13.3,0.3,0.8,,,,,1.3
Watermelon (Mean),B,100g,26,0.6,5.8,0.1,0.3,,,,,3.2
“Crisp” pear,B,100g,45,0.3,11.4,0.1,1.2,,,,,2.3
Loquat,B,100g,41,0.8,9.3,0.2,0.8,,,,,4
Apricot,B,100g,38,0.9,9.1,0.1,1.3,,,,,2.3
“Red skin” pear,B,100g,36,0.2,10.5,ND,3.2,,,,,3.4
